,name,city,state,Lat,Lng
477,Good People Brewing Company,Birmingham, AL,,
478,Heavy Seas Beer,Halethorpe, MD,,
479,Telluride Brewing Company,Telluride, CO,,
480,7 Seas Brewing Company,Gig Harbor, WA,,
481,Confluence Brewing Company,Des Moines, IA,,
482,Bale Breaker Brewing Company,Yakima, WA,,
483,The Manhattan Brewing Company,New York, NY,,
484,MacTarnahans Brewing Company,Portland, OR,,
485,Stillmank Beer Company,Green Bay, WI,,
486,Redhook Brewery,Woodinville, WA,,
487,Dock Street Brewery,Philadelphia, PA,,
488,Blue Point Brewing Company,Patchogue, NY,,
489,Tampa Bay Brewing Company,Tampa, FL,,
490,Devil's Canyon Brewery,Belmont, CA,,
491,Stone Coast Brewing Company,Portland, ME,,
492,Broken Tooth Brewing Company,Anchorage, AK,,
493,Seven Brides Brewery,Silverton, OR,,
494,Newburyport Brewing Company,Newburyport, MA,,
495,Dry Dock Brewing Company,Aurora, CO,,
496,Cans Bar and Canteen,Charlotte, NC,,
497,Sprecher Brewing Company,Glendale, WI,,
498,Wildwood Brewing Company,Stevensville, MT,,
499,High Noon Saloon And Brewery,Leavenworth, KS,,
500,Woodchuck Hard Cider,Middlebury, VT,,
501,Sea Dog Brewing Company,Portland, ME,,
502,Oskar Blues Brewery,Lyons, CO,,
503,Carolina Beer & Beverage,Mooresville, NC,,
504,Krebs Brewing Company (Pete's Pl...,Krebs, OK,,
505,Warbird Brewing Company,Fort Wayne, IN,,
506,Mudshark Brewing Company,Lake Havasu City, AZ,,
507,Spilker Ales,Cortland, NE,,
508,Wingman Brewers,Tacoma, WA,,
509,Kettle House Brewing Company,Missoula, MT,,
510,Sherwood Forest Brewers,Marlborough, MA,,
511,Cottrell Brewing,Pawcatuck, CT,,
512,Arctic Craft Brewery,Colorado Springs, CO,,
513,Monkey Paw Pub & Brewery,San Diego, CA,,
514,Crabtree Brewing Company,Greeley, CO,,
515,Emerald City Beer Company,Seattle, WA,,
516,Butcher's Brewing,Carlsbad, CA,,
517,New South Brewing Company,Myrtle Beach, SC,,
518,Big River Brewing Company,Chattanooga, TN,,
519,Twisted Pine Brewing Company,Boulder, CO,,
520,Flying Dog Brewery,Frederick, MD,,
521,Uncommon Brewers,Santa Cruz, CA,,
522,Aspen Brewing Company,Aspen, CO,,
